keys,es,en,pt_BR,zh_CN
DAGERROPLATE_DESC,"Placa de Cobre recubierta de plata para crear una ""Fotografía"". Se requiere un Daguerrotipo para ser usado. Al capturar la imagen no se debe mover durante el tiempo de exposición.","Silver coated copper plate to create a “Photograph.” A Daguerreotype is required to be used. When capturing the image, don't move during the exposure time.",Placa de cobre revestida com prata para criar uma “Fotografia”. Um Daguerreótipo é necessário para ser usado.,用以制作“照片”的镀银铜板。必须搭配银版摄影机使用，曝光期间不得移动。
GASMASKFILTER_TITLE,Filtro para máscara gas,Filter for gas mask,Filtro para a máscara de gás.,防毒面具滤芯
GASMASKFILTER_DESC,Filtro de aire para Sulfuro de carbono y Dióxido de azufre. Requiere ser colocado en una máscara de gas.,Air filter for carbon sulfide and sulfur dioxide. Requires being placed in a gas mask.,Filtro de ar para sulfeto de carbono e dióxido de enxofre. Requer se colocado na máscara de gás.,可过滤二硫化碳与二氧化硫的滤芯。必须安装在防毒面具上使用。
GASMASKBROKEN_TITLE,Máscara de gas dañada,Damaged gas mask,Máscara de gás danificado.,损坏的防毒面具
GASMASKBROKEN_DESC,Máscara de gas que necesita de reparaciones (Margaret puede ayudar) y un filtro de aire nuevo.,Gas mask in need of repairs (Margaret can help) and a new air filter.,Máscara de gás que precisa de reparos (Margaret pode ajudar) e de um novo filtro de ar.,一副需要修理的防毒面具，还得换上新的滤芯才行。玛格丽特也许帮得上忙。
NEEDJADEKEY,Requiere llave de Jade.,Requires Jade key.,Necessita da Chave de Jade.,需要翡翠钥匙。
JADEKEY_TITLE,Llave de jade,Jade key,Chave de Jade,翡翠钥匙
JADEKEY_DESC,"Permite abrir puertas que reflejan un color verde, similar al Jade incrustado en la llave. Es de uso único.","It allows opening doors that reflect a green color, similar to the Jade embedded in the key. It's for single use only.","Permite abrir portas que emitem uma cor verde, similar com a Jade embutida na chave. Uso único.",可开启那些会反射绿色光泽、与钥匙上镶嵌翡翠相似的门。为一次性消耗品。
AHUIZOTES_PENDANT_TITLE,Colgante de los Ahuizotes,Ahuizotes Pendant,Pingente dos Ahuizotes,Ahuizotes 吊坠
AHUIZOTES_PENDANT_DESC,Un adorno hecho de Pirita y Espinela que tiene forma del símbolo de Athos. Contiene una inscripción: Morir es vivir.,An ornament made of Pyrite and Spinel in the shape of the Athos symbol. It contains an inscription: Morir es vivir.,Um adorno feito de Pirita e Espínel no formato do símbolo de Athos. Contém a inscrição: MORRER É VIVER.,以黄铁矿与尖晶石制成、形状仿照阿托斯象征的饰品。上面刻着一句话：Morir es vivir(死即是生)。
SKULLKEY_TITLE,Llave calavera,Skull key,Chave caveira,骷髅钥匙
SKULLKEY_DESC,Llave de aspecto siniestro hecha de hierro.,Sinister-looking key made of iron.,Chave de aparência sinistra feita de ferro.,一把由铁制成、外观阴森的钥匙。
ELISIASTAFF_TITLE,Báculo de Elisia,Elisia's Staff,Báculo de Elisia,艾莉西亚的法杖
ELISIASTAFF_DESC,Objeto de alta rareza que era muy utilizado por los antiguos hechiceros antes de que la Alquimia fuera establecida en el continente.,An object of high rarity that was widely used by ancient sorcerers before Alchemy was established on the continent.,Um objeto de grande raridade que foi muito utilizado pelos antigos feiticeiros antes da Alquimia ser estabelecida no continente.,极为稀有的器物。在炼金术于这片大陆建立之前，古代术士曾广泛使用它。
DIRIANCOPILLI_TITLE,Tocado de plumas,Feather headdress,Cocar de Penas,羽冠
DIRIANCOPILLI_DESC,"Adorno de plumas largas que se lleva sobre la cabeza, asemejandose a una corona. Representa la conexión entre lo terrenal y lo divino.","An adornment of long feathers worn on the head, resembling a crown. It represents the connection between the earthly and the divine.","Um adorno de penas longas usado na cabeça, semelhante a uma coroa. Representa a conexão entre o terreno e o divino.",一种佩戴在头上的长羽饰，看上去宛如王冠，象征着尘世与神性的连结。
GOLEMHELMET_TITLE,Casco de Golem,Golem helmet,Elmo de Golem,魔像头盔
GOLEMHELMET_DESC,Un casco de enorme tamaño hecho de metales muy valiosos.,A helmet of enormous size made of very valuable metals.,Um elmo de tamanho enorme feito de metais muito valiosos.,一顶体积巨大的头盔，由极其珍贵的金属打造而成。
AMETHYSTKEY_TITLE,Llave Amatista,Amethyst Key,Chave de Ametista,紫水晶钥匙
AMETHYSTKEY_DESC,"Permite abrir puertas que reflejan un color púrpura, similar a la Amatista incrustada en la llave. Es de uso único.","It allows opening doors that reflect a purple color, similar to the Amethyst embedded in the key. It's for single use only.","Permite abrir portas que emitem uma cor púrpura, similar com a Ametista embutida na chave. Uso único.",可开启那些会反射紫色光泽、与钥匙上镶嵌紫水晶相似的门。为一次性消耗品。
DIZZY_MEDICINE_TITLE,Medicina contra mareos,Dizziness medicine,Remédio para tontura,止晕药
DIZZY_MEDICINE_DESC,Pastillas de dimenhidrinato que ayuda contra los síntomas de vértigo o mareo.,Dimenhydrinate tablets that help against symptoms of vertigo or dizziness.,Comprimidos de dimenidrinato que ajudam contra os sintomas de vertigem ou tontura.,用于缓解眩晕或头晕症状的茶苯海明药片。
NEEDAMETHYSTKEY,Requiere llave Amatista.,Requires Amethyst key.,Requer Chave Ametista.,需要紫水晶钥匙。
APPLECOIN_TITLE,Moneda Hespérides,Hesperides Coin,Moeda das Hespérides,赫斯珀里得斯之币
APPLECOIN_DESC,Moneda con el grabado de tres Ninfas recostadas sobre un árbol de manzanas.,Coin engraved with three nymphs reclining on an apple tree.,Moeda gravada com três ninfas reclinadas em uma macieira.,一枚刻有三位宁芙倚卧在苹果树上的硬币。
CARONTECOIN_TITLE,Moneda Caronte,Caronte coin,Moeda do Caronte,卡戎之币
CARONTECOIN_DESC,Moneda con el grabado de un anciano remando un barco.,Coin engraved with an old man rowing a boat.,Moeda gravada com um velho remando um barco.,一枚刻有老人划船图样的硬币。
HINTCARONTECOIN,El pago necesario para comenzar el viaje final.,The payment required to begin the final journey.,O pagamento é necessário para iniciar a viagem final.,开启最终旅程所需的船资。
HINTAPPLECOIN,La fruta de la vida eterna.,The fruit of eternal life.,O fruto da vida eterna.,永生之果。
EVAMASK_TITLE,Máscara de Eva,Eve's Mask,Máscara de Eve,伊娃的面具
EVAMASK_DESC,Máscara de gas que parece ser de bastante calidad.,Gas mask that appears to be of fairly good quality.,Máscara de gás que parece ser de ótima qualidade.,看起来品质相当不错的防毒面具。
ISAACSCY_TITLE,Guadaña de Hierro,Iron Scythe,Foice de Ferro,铁之镰刀
ISAACSCY_DESC,El arma de un cuerpo reanimado que mantuvo restos de una alma...,The weapon of a reanimated body that retained remnants of a soul...,A arma de um corpo reanimado que retinha resquícios de uma alma…,一个被重新唤起的躯体所持有的武器，其内似乎仍残留着些许灵魂……
ROYALMEDAL_TITLE,Medalla Real,Royal Medal,Medalha Real,皇家奖章
ROYALMEDAL_DESC,"Premio prestigioso otorgado como reconocimiento por logros en el campo de la ciencia, perteneciente a Henry Cavendish.","A prestigious award given in recognition of achievements in the field of science, named after Henry Cavendish.","Um prêmio prestigiado concedido em reconhecimento às conquistas no campo da ciência, nomeado em homenagem a Henry Cavendish.",一枚极具声望的奖章，用以表彰科学领域的成就，属于亨利·卡文迪许。
FOTOGRAPHY_TITLE,Fotografía,Photograph,Fotografia,照片
FOTOGRAPHY_DESC,"Una fotografía, que no muestra algo interesante, al menos se puede vender por sus materiales.",A photograph that does not show anything interesting can at least be sold for its materials.,Uma fotografia que não mostra nada de interessante pode pelo menos ser vendida por seus materiais.,一张没拍到什么有趣内容的照片，至少还能按材料卖掉。
FOTOGRAPHY_A_TITLE,Foto de Guardabarranco,Guardabarranco photo,Foto de Guardabarranco,绿眉翠鴗照片
FOTOGRAPHY_A_DESC,"Ave elegante de cola distinguida en forma de raqueta, hermano del Torogoz.","An elegant bird with a distinctive racket-shaped tail, brother of the Torogoz.","Uma ave elegante com uma cauda distinta em formato de raquete, irmã do Torogoz.",一种优雅的鸟，尾巴末端形似球拍，与蓝顶翠鴗同属一类。
FOTOGRAPHY_B_TITLE,Foto de Quetzal,Quetzal photo,Foto de Quetzal,凤尾绿咬鹃照片
FOTOGRAPHY_B_DESC,"Se dice que posó sobre el cuerpo derrotado de un legendario guerrero, por lo que su pecho adquirió color rojo.","It’s said that it perched on the defeated body of a legendary warrior, which is why its chest turned red.","Dizem que ele pousou no corpo derrotado de um guerreiro lendário, e é por isso que seu peito ficou vermelho.",据说它曾栖落在一位传说战士的遗体之上，因此胸前的羽毛染上了红色。
FOTOGRAPHY_C_TITLE,Foto de Torogoz,Torogoz photo,Foto de Torogoz,蓝顶翠鴗照片
FOTOGRAPHY_C_DESC,"Si las ves quietas, notarás que mueven su cola como péndulo de reloj, hermano del Guardabarranco.","If you watch them closely, you will notice that they move their tails like a clock pendulum. Brother of the Guardabarranco.","Se você observá-los atentamente, notará que eles movem a cauda como o pêndulo de um relógio. Irmão do Guardabarranco.",若你仔细观察，会发现它们摆动尾巴的样子就像钟摆一样，与绿眉翠鴗同属一类。
FOTOGRAPHY_D_TITLE,Foto de Guacamaya,Guacamaya photo,Foto de Guacamaya,金刚鹦鹉照片
FOTOGRAPHY_D_DESC,Un ave de la familia de Loros que es enorme y de plumaje vibrante.,A bird of the parrot family that is enormous and has vibrant plumage.,Uma ave da família dos papagaios que é enorme e tem plumagem vibrante.,一种体型巨大的鹦鹉科鸟类，羽色鲜艳夺目。
FOTOGRAPHY_E_TITLE,Foto de Yigüirro,Yigüirro photo,Foto de Yigüirro,褐背鸫照片
FOTOGRAPHY_E_DESC,Un ave pequeña de precioso canto que le gusta estar cerca de grandes fuentes de agua.,A small bird with a beautiful song that likes to be near large sources of water.,Um pequeno pássaro com um canto bonito que gosta de ficar perto de grandes fontes de água.,一种歌声优美的小鸟，喜欢栖息在大型水源附近。
METIL_TITLE,Compuesto aminometano,Aminomethane compound,Composto de aminometano,氨基甲烷化合物
METIL_DESC,"Gas derivado del amoníaco, se emplea como materia prima en la síntesis de medicamentos.","A gas derived from ammonia, it is used as a raw material in the synthesis of medicines.","Gás derivado da amônia, é utilizado como matéria-prima na síntese de medicamentos.",一种由氨衍生而来的气体，可作为合成药物的原料。
RATSAMPLE_TITLE,Muestra de animal,Animal sample,Amostra animal,动物样本
RATSAMPLE_DESC,Contiene una pequeña muestra extraída de una rata que merodeaba en Birstall.,Contains a small sample taken from a rat that was roaming around Birstall.,Contém uma pequena amostra retirada de um rato que estava vagando por Birstall.,内含一份从徘徊在比尔斯托尔周边的老鼠身上提取的小样本。
BOOKMUSIC_TITLE,Libro de música,Music book,Livro de música,乐谱书
BOOKMUSIC_DESC,"Un libro que enseña a tocar el instrumento llamado “Marimba”, además trae algunas partituras de canciones clásicas de una cultura antigua.","A book that teaches how to play the instrument called “Marimba,” and also includes some sheet music for classic songs from an ancient culture.",Um livro que ensina a tocar o instrumento chamado “Marimba” e também inclui algumas partituras de canções clássicas de uma cultura antiga.,一本教授如何演奏“马林巴琴”的书，里面还附有一些古老文化流传下来的经典乐曲乐谱。
CALAVERAFRUIT_TITLE,Fruto Calavera,Calavera fruit,Fruta Calavera,骷髅果
CALAVERAFRUIT_DESC,¿Una... fruta? Al cortarla a la mitad se puede ver la forma de un cráneo.,"A... fruit? When you cut it in half, you can see the shape of a skull.","Uma... fruta? Quando você a corta ao meio, você consegue ver o formato de uma caveira.",这……算是水果吗？把它切成两半后，能看见骷髅般的纹样。
GOLD_KEY_TITLE,Llave de Oro,Golden Key,Chave Dourada,金钥匙
GOLD_KEY_DESC,Una vieja llave hecha de oro.,An old golden key.,Uma chave dourada antiga.,一把旧金钥匙。
HATHAIRDECO_TITLE,Sombrero y Lazo,Hat and Ribbon,Chapéu e Laço de Fita,帽子与丝带
HATHAIRDECO_DESC,Objetos pertenecientes a los gemelos Cavendish.,Items belonging to the Cavendish twins.,Itens pertencentes aos Gêmeos Cavendish.,属于卡文迪许双胞胎的物品。
RINGWIFE_TITLE,Anillos de bodas,Wedding rings,Alianças de casamento,结婚戒指
RINGWIFE_DESC,Pertenecientes a Johannes Trithemius y su esposa...,Belonging to Johannes Trithemius and his wife...,Pertencente a Johannes Trithemius e sua esposa...,属于约翰内斯·特里特米乌斯与其妻子的戒指……
MEDALLIONTOZIUHA_TITLE,Medalla Toziuha,Toziuha Medallion,Medalhão Toziuha,托祖哈徽章
MEDALLIONTOZIUHA_DESC,Prueba de una lucha perfecta contra el señor del Xibalbá.,Proof of a perfect battle against the lord of Xibalba.,Prova de uma batalha perfeita contra o senhor de Xibalba.,与西巴尔巴之主进行完美一战的证明。
CANDYDIFFB_TITLE,Caramelo agrio,Sour candy,Doce azedo,酸味糖果
CANDYDIFFB_DESC,"¿Las cosas están muy fáciles? Con este caramelo cambia a nivel ""normal"" la partida.",Are things too easy? This candy changes the game to “normal” difficulty.,"Está tudo muito fácil? Este doce muda o jogo para a dificuldade ""normal"".",觉得太简单了吗？使用这颗糖果后，游戏难度将变为“普通”。
